,Time (seconds),f0,label
122,3.003377535981308,43.84536293340336,action_1
123,3.027790460046728,77.63745408365953,action_1
124,3.0522033841121488,142.22177972816533,action_1
125,3.0766163081775697,282.98227808555407,action_1
126,3.10102923224299,604.8370650543753,action_1
127,3.1254421563084107,988.0287490124808,action_1
128,3.1498550803738308,1031.127305511081,action_1
129,3.174268004439252,486.99192562453453,action_1
130,3.198680928504672,532.9569129093467,action_1
131,3.2230938525700927,380.1898509806835,action_1
132,3.247506776635513,441.1859966658498,action_1
133,3.2719197007009333,348.5029141325724,action_1
134,3.2963326247663547,608.3242879384753,action_1
135,3.320745548831775,485.0872054447215,action_1
136,3.345158472897196,508.3227625651833,action_1
137,3.3695713969626166,205.32032621430537,action_1
173,4.248436663317756,184.82320410710548,action_1
174,4.272849587383177,225.34629432147662,action_1
175,4.297262511448596,275.14332276286524,action_1
176,4.321675435514018,373.059502119898,action_1
177,4.346088359579438,757.533678537988,action_1
178,4.370501283644859,944.7173344283686,action_1
179,4.394914207710278,405.62109284001366,action_1
180,4.4193271317757015,626.3147488200533,action_1
181,4.443740055841121,376.61872646091535,action_1
182,4.468152979906542,393.237256376361,action_1
183,4.492565903971962,571.4264713491311,action_1
184,4.516978828037383,507.6685637318059,action_1
185,4.541391752102803,505.37736952487563,action_1
186,4.565804676168224,393.24388652207705,action_1
187,4.590217600233643,571.1701628298902,action_1
188,4.6146305242990655,381.629977800761,action_1
189,4.639043448364485,284.83075990522497,action_1
190,4.6634563724299065,124.5786500869622,action_1
191,4.687869296495326,67.05238122140734,action_1
228,5.591147486915887,135.2883938980305,action_1
229,5.615560410981307,191.9713668666676,action_1
230,5.639973335046728,738.0781735045617,action_1
231,5.664386259112148,1048.5683904093214,action_1
232,5.6887991831775695,636.8032833555108,action_1
233,5.713212107242991,632.0253453180785,action_1
234,5.7376250313084105,172.76698700377895,action_1
235,5.762037955373831,395.6345154936378,action_1
236,5.786450879439252,345.3238505580255,action_1
237,5.810863803504673,461.5617780026132,action_1
238,5.8352767275700925,489.4352335212807,action_1
239,5.859689651635512,750.382870353963,action_1
240,5.8841025757009335,502.93970818399237,action_1
241,5.908515499766353,84.99710524667513,action_1
242,5.932928423831775,73.32278793155393,action_1
243,5.957341347897196,77.66556500412196,action_1
278,6.8117936901869145,88.97627027065994,action_1
279,6.836206614252335,279.97891949200124,action_1
280,6.860619538317756,926.8166381028352,action_1
281,6.885032462383176,538.0953494610134,action_1
282,6.909445386448598,707.5333860402063,action_1
283,6.933858310514017,504.1037088731735,action_1
284,6.958271234579438,415.438875048094,action_1
285,6.982684158644859,545.1628692507885,action_1
286,7.007097082710278,500.48965863008584,action_1
287,7.0315100067757,530.4779390188053,action_1
288,7.05592293084112,792.0745048373019,action_1
289,7.080335854906541,715.4447234359333,action_1
290,7.1047487789719606,240.29113623862546,action_1
291,7.129161703037382,127.27495833610053,action_1
292,7.1535746271028025,199.6692537274349,action_1
293,7.177987551168222,224.37402811356415,action_1
325,7.959201121261681,165.35716029461508,action_1
326,7.983614045327102,219.5078707989559,action_1
327,8.008026969392523,794.8868622002614,action_1
