Time (seconds),f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18
0.0238726,36.19440835638471,27.31826519392288,17.65521710654793,27.28111705046317,23.04314524522433,18.431867781429546,15.658207865187855,32.37667822863716,20.275114143351082,17.597551338829923,13.435564287651454,21.134812042200217,16.021698750033238,16.315768460028654,24.88574714483315,22.963518925213503,22.41622998893718,20.985873817742075,24.80345193253271
0.048929,17.230618937595448,20.236429900893736,15.093696894074142,16.96549524708808,14.627143384969882,15.297186330303411,23.869985289220086,26.65254329724048,19.731303381339394,22.335611977311284,38.06722365931588,43.34565012293373,33.204060804448716,16.928353715681112,12.869630602741406,12.903503358038094,13.340529454986486,17.291021702089214,25.418000474508784
0.07301039999999999,29.646714379653847,13.995151833348324,17.196383276060747,18.465660025364656,9.614451235271977,23.63634085317155,25.54092809082786,38.87909302954067,20.81497519631454,11.548828135900902,30.125869794177888,16.756220579679795,30.744599446063766,24.12676218536985,22.514212325771293,29.27990506463719,24.682796221666617,20.233303064043838,20.62222999454622
0.0980668,18.469401089408475,25.617158370909554,22.241007701607895,22.62322461259673,24.178113413918023,22.31966582860406,21.168949395205313,35.93729971963401,33.56621751157312,33.68304105786286,27.03495886418301,20.089986598563293,33.94572967852618,24.28970349414435,25.990526300353082,30.86641240081348,18.97469533775963,14.87207436042196,10.685723286267752
0.12206889999999998,21.212739367117884,23.097621487841778,17.038137628494773,15.602651661799321,23.133443795593926,22.771729210715797,18.79724537293282,21.60145581052258,24.714212614097654,35.38575260156916,30.633369702184947,15.941306735876623,23.6289371081186,19.587913565786067,20.197246440739193,23.23533954151673,24.05638476076853,17.31406146995031,17.63594156095915
0.1469436,18.819264507372587,22.54382066248727,25.493316217875883,21.32643714266249,27.842107988109333,19.061815122420096,17.469582901332117,20.507211821304676,22.63302161191827,15.39654199277229,27.218762423217463,26.427081227041498,20.339361429274945,14.311453043437734,27.93150873120808,29.102487537446734,28.802159247657908,17.35938467146709,17.610138786164228
0.17063810000000001,13.364306359076851,23.770031704730336,22.229411135917903,37.519320690830824,26.566462644920495,33.318668909908666,18.48070298248824,28.00102746994751,13.704615267686462,18.68103572564146,24.4441692577379,15.7647983300993,16.123032234579306,29.299847706096127,28.959918631299228,31.205935889089858,31.890016172769254,16.285173144793596,36.956969939110024
0.19572879999999998,16.93285662966809,19.045298968051316,21.43488650405102,31.75066508164552,31.555269234546696,19.182775563448708,13.625725251812353,14.80846234244738,24.517573994409286,24.173038640608528,26.350622773082634,20.85884432879785,17.377414416505445,24.654437463235926,23.183185474679217,21.425217559106443,24.180590754069915,24.46172103383484,22.8958479255342
0.2196443,20.19651730098184,30.90091522793832,23.89240914517489,30.626036277311403,24.31886323305554,30.04590073927185,17.52184836349467,27.42660555867015,25.36426598623554,19.08949822730716,25.535288798713747,26.666104769069026,27.612947732366386,30.90402630089104,20.88529788915078,15.430288884298884,24.799758529935584,23.23767601466621,18.7394820191201
0.2447186,25.255174890527407,23.05592294294083,19.649239920178655,21.045868529648246,16.75059919382821,14.988607972408431,16.569216704889705,24.5199670778896,25.963601960373563,23.280070875218986,43.24983817123969,38.044591929175475,27.150455536585266,17.240290440964714,29.12860127315204,26.073679564978523,19.375213615145324,23.71719198959086,28.279752824620743
